x1,x2,label,note
0.47,0.26,2,x1 = 0.47; x2 = 0.26
-0.57,-0.0,1,x1 = -0.57; x2 = -0.0
0.58,-0.34,2,x1 = 0.58; x2 = -0.34
0.6,-2.04,1,x1 = 0.6; x2 = -2.04
-1.29,-1.57,1,x1 = -1.29; x2 = -1.57
1.62,-2.41,0,x1 = 1.62; x2 = -2.41
0.91,2.81,1,x1 = 0.91; x2 = 2.81
3.01,-1.14,0,x1 = 3.01; x2 = -1.14
1.8,2.21,1,x1 = 1.8; x2 = 2.21
0.82,-2.48,0,x1 = 0.82; x2 = -2.48
-1.3,1.18,1,x1 = -1.3; x2 = 1.18
-0.42,2.46,2,x1 = -0.42; x2 = 2.46
0.1,2.19,0,x1 = 0.1; x2 = 2.19
-2.13,0.38,0,x1 = -2.13; x2 = 0.38
1.07,1.87,2,x1 = 1.07; x2 = 1.87
-1.3,-1.01,2,x1 = -1.3; x2 = -1.01
-0.33,-1.81,2,x1 = -0.33; x2 = -1.81
-2.15,0.11,1,x1 = -2.15; x2 = 0.11
1.11,-0.8,0,x1 = 1.11; x2 = -0.8
0.35,0.42,2,x1 = 0.35; x2 = 0.42
0.6,2.13,2,x1 = 0.6; x2 = 2.13
-0.72,-0.41,0,x1 = -0.72; x2 = -0.41
0.14,0.62,2,x1 = 0.14; x2 = 0.62
-1.22,0.23,2,x1 = -1.22; x2 = 0.23
1.49,-1.52,1,x1 = 1.49; x2 = -1.52
1.3,1.39,0,x1 = 1.3; x2 = 1.39
1.5,0.95,0,x1 = 1.5; x2 = 0.95
1.68,-1.15,2,x1 = 1.68; x2 = -1.15
0.49,0.25,2,x1 = 0.49; x2 = 0.25
2.34,-2.06,0,x1 = 2.34; x2 = -2.06
-2.68,-0.35,2,x1 = -2.68; x2 = -0.35
2.34,0.2,1,x1 = 2.34; x2 = 0.2
0.43,-2.66,0,x1 = 0.43; x2 = -2.66
2.33,-0.25,1,x1 = 2.33; x2 = -0.25
2.49,0.2,1,x1 = 2.49; x2 = 0.2
2.12,-0.06,2,x1 = 2.12; x2 = -0.06
-0.52,0.82,2,x1 = -0.52; x2 = 0.82
1.06,-1.04,0,x1 = 1.06; x2 = -1.04
-1.85,-1.59,0,x1 = -1.85; x2 = -1.59
1.63,1.11,0,x1 = 1.63; x2 = 1.11
-2.1,0.89,0,x1 = -2.1; x2 = 0.89
1.17,-2.61,0,x1 = 1.17; x2 = -2.61
-2.01,1.5,2,x1 = -2.01; x2 = 1.5
-0.1,-1.94,2,x1 = -0.1; x2 = -1.94
2.96,-1.24,0,x1 = 2.96; x2 = -1.24
1.81,-1.25,2,x1 = 1.81; x2 = -1.25
-2.26,-0.09,0,x1 = -2.26; x2 = -0.09
1.68,-1.46,2,x1 = 1.68; x2 = -1.46
0.37,2.2,0,x1 = 0.37; x2 = 2.2
-0.39,0.57,2,x1 = -0.39; x2 = 0.57
-1.45,1.88,2,x1 = -1.45; x2 = 1.88
1.21,-2.47,0,x1 = 1.21; x2 = -2.47
2.12,-1.08,1,x1 = 2.12; x2 = -1.08
-2.17,0.17,0,x1 = -2.17; x2 = 0.17
0.95,0.11,1,x1 = 0.95; x2 = 0.11
-1.39,-1.78,1,x1 = -1.39; x2 = -1.78
-0.51,-2.31,1,x1 = -0.51; x2 = -2.31
-1.14,-1.92,1,x1 = -1.14; x2 = -1.92
1.55,-1.76,1,x1 = 1.55; x2 = -1.76
